"title","authors","journal","doi","volume","issue","year","abstract"
"Impact of Probiotic Bacteria on Respiratory Allergy Disorders","Jakubczyk D., Górska S.","Frontiers in Microbiology","10.3389/fmicb.2021.688137","12",NA,"2021","Respiratory allergy is a common disease with an increased prevalence worldwide. The effective remedy is still unknown, and a new therapeutic approach is highly desirable. The review elaborates the influence of probiotic bacteria on respiratory allergy prevention and treatment with particular emphasis on the impact of the current methods of their administration – oral and intranasal. The background of the respiratory allergy is complex thus, we focused on the usefulness of probiotics in the alleviation of different allergy factors, in particular involved in pathomechanism, local hypersensitive evidence and the importance of epithelial barrier. In this review, we have shown that (1) probiotic strains may vary in modulatory potential in respiratory allergy, (2) probiotic bacteria are beneficial in oral and intranasal administration, (3) recombinant probiotic bacteria can modulate the course of respiratory allergy."
"Fighting fire with fire: oral antibiotics for the suppression of colonization with multidrug-resistant Enterobacterales","Huttner B.D.","Clinical Microbiology and Infection","10.1016/j.cmi.2021.02.025","27","6","2021",NA
"Bioaerosols in orthopedic surgical procedures and implications for clinical practice in the times of COVID-19: A systematic review and meta-analysis: Bioaerosols in orthopaedics","Sharma S., John R., Patel S., Neradi D., Kishore K., Dhillon M.S.","Journal of Clinical Orthopaedics and Trauma","10.1016/j.jcot.2021.03.016","17",NA,"2021","Introduction: Orthopedic surgical procedures (OSPs) are known to generate bioaerosols, which could result in transmission of infectious diseases. Hence, this review was undertaken to analyse the available evidence on bioaerosols in OSPs, and their significance in COVID-19 transmission. Methods: A systematic review was conducted by searching the PubMed, EMBASE, Scopus, Cochrane Library, medRxiv, bioRxiv and Lancet preprint databases for studies on bioaerosols in OSPs. Random-effects metanalysis was conducted to determine pooled estimates of key bioaerosol characteristics. Risk of bias was assessed by the RoB-SPEO tool; overall strength of evidence was assessed by the GRADE approach. Results: 17 studies were included in the systematic review, and 6 in different sets of meta-analyses. The pooled estimate of particle density was 390.74 μg/m(3), Total Particle Count, 6.08 × 10(6)/m(3), and Microbial Air Contamination, 8.08 CFU/m(3). Small sized particles (</ = 0.5 μm) were found to be 37 and 1604 times more frequent in the aerosol cloud in comparison to medium and large sized particles respectively. 4 studies reported that haemoglobin could be detected in aerosols, and one study showed that HIV could be transmitted by blood aerosolized by electric saw and burr. The risk of bias for all studies in the review was determined to be high, and the quality of evidence, low. Conclusion: Whereas there is evidence to suggest that OSPs generate large amounts of bioaerosols, their potential to transmit infectious diseases like COVID-19 is questionable. High-quality research, as well as consensus minimum reporting guidelines for bioaerosol research in OSPs is the need of the hour."
"Diagnosis and Treatment of Alcohol-Associated Liver Disease: A Patient-Friendly Summary of the 2019 AASLD Guidelines","Bertha M., Choi G., Mellinger J.","Clinical Liver Disease","10.1002/cld.1129","17","6","2021",NA
"Screening for Colorectal Cancer: Updated Evidence Report and Systematic Review for the US Preventive Services Task Force","Lin J.S., Perdue L.A., Henrikson N.B., Bean S.I., Blasi P.R.","JAMA - Journal of the American Medical Association","10.1001/jama.2021.4417","325","19","2021","Importance: Colorectal cancer (CRC) remains a significant cause of morbidity and mortality in the US. Objective: To systematically review the effectiveness, test accuracy, and harms of screening for CRC to inform the US Preventive Services Task Force. Data Sources: MEDLINE, PubMed, and the Cochrane Central Register of Controlled Trials for relevant studies published from January 1, 2015, to December 4, 2019; surveillance through March 26, 2021. Study Selection: English-language studies conducted in asymptomatic populations at general risk of CRC. Data Extraction and Synthesis: Two reviewers independently appraised the articles and extracted relevant study data from fair- or good-quality studies. Random-effects meta-analyses were conducted. Main Outcomes and Measures: Colorectal cancer incidence and mortality, test accuracy in detecting cancers or adenomas, and serious adverse events. Results: The review included 33 studies (n = 10776276) on the effectiveness of screening, 59 (n = 3491045) on the test performance of screening tests, and 131 (n = 26987366) on the harms of screening. In randomized clinical trials (4 trials, n = 458002), intention to screen with 1- or 2-time flexible sigmoidoscopy vs no screening was associated with a decrease in CRC-specific mortality (incidence rate ratio, 0.74 [95% CI, 0.68-0.80]). Annual or biennial guaiac fecal occult blood test (gFOBT) vs no screening (5 trials, n = 419966) was associated with a reduction of CRC-specific mortality after 2 to 9 rounds of screening (relative risk at 19.5 years, 0.91 [95% CI, 0.84-0.98]; relative risk at 30 years, 0.78 [95% CI, 0.65-0.93]). In observational studies, receipt of screening colonoscopy (2 studies, n = 436927) or fecal immunochemical test (FIT) (1 study, n = 5.4 million) vs no screening was associated with lower risk of CRC incidence or mortality. Nine studies (n = 6497) evaluated the test accuracy of screening computed tomography (CT) colonography, 4 of which also reported the test accuracy of colonoscopy; pooled sensitivity to detect adenomas 6 mm or larger was similar between CT colonography with bowel prep (0.86) and colonoscopy (0.89). In pooled values, commonly evaluated FITs (14 studies, n = 45403) (sensitivity, 0.74; specificity, 0.94) and stool DNA with FIT (4 studies, n = 12424) (sensitivity, 0.93; specificity, 0.85) performed better than high-sensitivity gFOBT (2 studies, n = 3503) (sensitivity, 0.50-0.75; specificity, 0.96-0.98) to detect cancers. Serious harms of screening colonoscopy included perforations (3.1/10000 procedures) and major bleeding (14.6/10000 procedures). CT colonography may have harms resulting from low-dose ionizing radiation. It is unclear if detection of extracolonic findings on CT colonography is a net benefit or harm. Conclusions and Relevance: There are several options to screen for colorectal cancer, each with a different level of evidence demonstrating its ability to reduce cancer mortality, its ability to detect cancer or precursor lesions, and its risk of harms."
"The effect of perioperative administration of probiotics on colorectal cancer surgery outcomes","Pitsillides L., Pellino G., Tekkis P., Kontovounisios C.","Nutrients","10.3390/nu13051451","13","5","2021","1 Abstract: The perioperative care of colorectal cancer (CRC) patients includes antibiotics. Although antibiotics do provide a certain protection against infections, they do not eliminate them completely, and they do carry risks of microbial resistance and disruption of the microbiome. Probiotics can maintain the microbiome’s balance postoperatively by maintaining intestinal mucosal integrity and reducing bacterial translocation (BT). This review aims to assess the role of probiotics in the perioperative management of CRC patients. The outcomes were categorised into: postoperative infectious and non-infectious complications, BT rate analysis, and intestinal permeability assessment. Fifteen randomised controlled trials (RCTs) were included. There was a trend towards lower rates of postoperative infectious and non-infectious complications with probiotics versus placebo. Probiotics reduced BT, maintained intestinal mucosal permeability, and provided a better balance of beneficial to pathogenic microorganisms. Heterogeneity among RCTs was high. Factors that influence the effect of probiotics include the species used, using a combination vs. single species, the duration of administration, and the location of the bowel resection. Although this review provided evidence for how probiotics possibly operate and reported notable evidence that probiotics can lower rates of infections, heterogeneity was observed. In order to corroborate the findings, future RCTs should keep the aforementioned factors constant."
"Editorial Commentary: Is It Time for the Vancomycin Wrap to Become a Universal Recommendation for the Prevention of Septic Arthritis Following Anterior Cruciate Ligament Reconstruction?","Vertullo C.J.","Arthroscopy - Journal of Arthroscopic and Related Surgery","10.1016/j.arthro.2021.02.002","37","5","2021","Septic arthritis is a devastating complication of anterior cruciate ligament (ACL) reconstruction, which can still occur in approximately 1% of patients despite appropriate intravenous antibiotic prophylaxis and other recommended preventative measures being undertaken. The infection is most likely secondary to the autograft becoming contaminated during harvest and preparation, introducing bacteria into the joint on insertion. Presoaking ACL grafts in 5 mg/mL vancomycin is a novel method developed to eradicate this bacterial contamination and is supported by compelling Level III evidence from multiple observational trials showing a dramatic reduction in infection rates without any evidence of increased graft failure. As such, it is time for this technique to become a universal recommendation? That said, as observational studies using a historical cohort as a comparator are at risk of various biases, Level I evidence is ultimately required for infection prophylaxis methods to be recognized as a universal recommendation in infection control guidelines. Consequently, future research endeavors on the “vancomycin wrap” should focus on randomized controlled trials, possibly nested within ACL registries."
"Therapeutic effect of EPA/DHA supplementation in neoplastic and non-neoplastic companion animal diseases: A systematic review","Magalhães T.R., Lourenço A.L., Gregório H., Queiroga F.L.","In Vivo","10.21873/invivo.12394","35","3","2021","Background/Aim: The aim of this study is to identify and describe randomized controlled studies evaluating the therapeutic effect of EPA and DHA supplementation in companion animal diseases. Materials and Methods: A systematic search was conducted in PubMed database and the information collected was summarized and evaluated according to the risk of bias, using the revised Cochrane tool (RoB2). Results: Twenty-three studies were eligible for inclusion: twenty performed in dogs and three in cats. A therapeutic benefit was found in canine allergic dermatitis, haircoat disorder, keratoconjunctivitis sicca, valvular disease, and canine and feline osteoarthritis. Dogs diagnosed with chronic heart failure and lymphoma and cats with allergic dermatitis also seem to benefit from supplementation with omega-3 fatty acids, but studies with improved methodological quality are needed to strengthen this evidence. Conclusion: EPA and DHA supplementation has proven benefits in the adjuvant treatment of various neoplastic and non-neoplastic diseases in dogs and cats."
"BUDESONIDE VS. MESALAMINE IN MICROSCOPIC COLITIS: A SYSTEMATIC REVIEW AND META-ANALYSIS OF EFFICACY AND ADVERSE EVENTS","Malik A., Goyal H., Perisetti A., Nadeem M., Gajendran M., Ali A., Tharian B., Enders G.","Gastroenterology","10.1016/S0016-5085(21)01390-1","160","6","2021","Background. Aim: Microscopic colitis (MC) presents with chronic watery diarrhea, abdominalpain, cramping, bloating, nocturnal defecation, and occasional weight loss. The diagnosisis based on colonic tissue biopsy to reveal specific histological features. Several drugs,including mesalamine, budesonide, and other immunomodulators, are used for treating thedisease process. In this meta-analysis, we compared treatment efficacy and adverse events(AEs) of budesonide and mesalamine therapy in MC. Methods: We searched the CochraneLibrary, Scopus, Web of Science, and PubMed, comparing mesalamine or budesonide witha control group in the treatment of MC. Outcomes included clinical remission (three orfewer stools/day), stool characteristics (daily stool weight, daily stool frequency, daily stoolconsistency), and the number of patients with clinical response (<50% in the disease activity).Safety endpoints included: any AE-related discontinuation, including abdominal discomfort,constipation, flatulence, nausea, dizziness, headache, bronchitis, nasopharyngitis, and depression.The meta-analysis was conducted using the generic inverse variance method andperformed a subgroup analysis based on the intervention. Results:Our literature search retrieved 19 randomized clinical trials with a total of 821 patients.We report that after eight weeks of follow-up, budesonide showed significantly higher clinicalremission rates RR=2.29 [2.14, 2.45], than mesalamine RR= 1.7 [1.41, 2.05], p=0.003. Aftereight weeks, no difference in stool weight was seen in the budesonide group (MD=-351.62[-534.25, -168.99]) compared to mesalamine (MD=-104.3 [-372.34, 163.74]), p=0.14.However, the daily stool frequency was significantly less in the budesonide group thanmesalamine (p<0.001). Also, significantly lower endpoint AEs were reported with budesonideas compared to mesalamine (p=0.002). Conclusion: Treatment with budesonide was foundto be superior to mesalamine in microscopic colitis patients in terms of clinical remissionrate (stool frequency), especially after eight weeks of follow up. Budesonide also showed asignificantly fewer AEs. There is a need for randomized, double-blinded clinical trials toprovide direct evidence for our results. (Figure Presented) (Figure Presented) (Figure Presented)"
"Effect of electroacupuncture on chemotherapy-induced diarrhea: Study protocol for a randomized controlled trial","Wang Y., Zhou M., Shen J., Wang D., Xu N., Song Y., Sun M., Chen L., Pei L., Sun J.","Translational Cancer Research","10.21037/tcr-20-3400","10","5","2021","Background: Chemotherapy-induced diarrhea (CID) is one of the side effects of chemotherapy. Diarrhea not only affects the overall treatment effectiveness but also reduces patients' quality of life. Severe diarrhea can lead to electrolyte imbalance and even be life-threatening. Although acupuncture has been widely used in clinical practice and its effectiveness for managing functional diarrhea has been recognized, there is no sound evidence of its efficacy in managing CID. Therefore, the aim of the proposed randomized controlled trial is to examine the effectiveness and potential risks of using acupuncture for the management of CID and to describe its protocol herein. Methods: This trial will be conducted in a double-blinded manner and comprise two arms that will be investigated across multiple centers in parallel. The study cohort will comprise 168 outpatients who have CID from six Chinese hospitals. The patients will be randomly and equally divided between an intervention group (electroacupuncture) and a control group (micro-electroacupuncture). In the former, acupuncture will be performed with the conventional method to induce the de qi sensation, and in the latter group, acupuncture will be performed with a sham procedure that does not involve the insertion of needles. The acupoints ST25, SP14, SP6, and ST37 will be applied in the two methods. These procedures will be performed three times a week for four consecutive weeks. The number of days on which CID occurred, the incidence of CID, and fecal characteristics are considered as the primary outcomes, and the Functional Assessment of Chronic Illness Therapy for Patients with Diarrhea subscale score and the World Health Organization Quality of Life assessment are considered as secondary outcomes. The patients will be closely observed for complications and fluctuations in vital signs. Discussion: If the findings from the trial demonstrate the effectiveness and safety of using acupuncture to treat CID, they could serve as evidence for the clinical application of acupuncture as a complementary treatment for cancer patients during chemotherapy."
"Large Projects Investigating the Microbiota-Gut-Brain Axis and Fecal Transplant Studies Are Needed for Treating Mental Illnesses","Waszkiewicz N.","Neuropsychobiology","10.1159/000509573","80","3","2021",NA
"Psychological comorbidity in gastrointestinal diseases: Update on the brain-gut-microbiome axis","Person H., Keefer L.","Progress in Neuro-Psychopharmacology and Biological Psychiatry","10.1016/j.pnpbp.2020.110209","107",NA,"2021","The high comorbidity of psychological disorders in both functional and organic gastrointestinal diseases suggests the intimate and complex link between the brain and the gut. Termed the brain-gut axis, this bidirectional communication between the central nervous system and enteric nervous system relies on immune, endocrine, neural, and metabolic pathways. There is increasing evidence that the gut microbiome is a key part of this system, and dysregulation of the brain-gut-microbiome axis (BGMA) has been implicated in disorders of brain-gut interaction, including irritable bowel syndrome, and in neuropsychiatric disorders, including depression, Alzheimer's disease, and autism spectrum disorder. Further, alterations in the gut microbiome have been implicated in the pathogenesis of organic gastrointestinal diseases, including inflammatory bowel disease. The BGMA is an attractive therapeutic target, as using prebiotics, probiotics, or postbiotics to modify the gut microbiome or mimic gut microbial signals could provide novel treatment options to address these debilitating diseases. However, despite significant advancements in our understanding of the BGMA, clinical data is lacking. In this article, we will review current understanding of the comorbidity of gastrointestinal diseases and psychological disorders. We will also review the current evidence supporting the key role of the BGMA in this pathology. Finally, we will discuss the clinical implications of the BGMA in the evaluation and management of psychological and gastrointestinal disorders."
"Distribution and drug resistance of pathogens in burn patients in China from 2006 to 2019","Chen H., Yang L., Cheng L., Hu X.-H., Shen Y.-M.","World Journal of Clinical Cases","10.12998/wjcc.v9.i10.2228","9","10","2021","BACKGROUND In this study, recent trends in the distribution and drug resistance of pathogenic bacteria isolated from patients treated at a burn ward between 2006 and 2019 were investigated. AIM To develop more effective clinical strategies and techniques for the prevention and treatment of bacterial infections in burn patients. METHODS Clinical samples with positive bacteria were collected from patients at the burn ward in Beijing Jishuitan Hospital in China between January 2006 and December 2019. The samples were retrospectively analyzed, the distribution of pathogenic bacteria was determined, and the trends and changes in bacterial drug resistance during different period were assessed. Drug resistance in several main pathogenic bacteria from 2006 to 2011 and from 2012 to 2019 was comparatively summarized and analyzed. RESULTS Samples from 17119 patients were collected and analyzed from 2006 to 2019. Surprisingly, a total of 7960 strains of different pathogenic bacteria were isolated at this hospital. Among these bacteria, 87.98% (7003/7960) of the strains were isolated from burn wounds, and only 1.34% (107/7960) were isolated from the blood of patients. In addition, 49.70% (3956/7960) were identified as Gram-positive bacteria, 48.13% (3831/7960) were Gram-negative bacteria, and the remaining 2.17% (173/7960) were classified as fungi or other pathogens. Importantly, Staphylococcus aureus (21.68%), Pseudomonas aeruginosa (14.23%), and Staphylococcus epidermidis (9.61%) were the top three pathogens most frequently isolated from patients. CONCLUSION In patients treated at the burn ward in this hospital from 2006 to 2019, Staphylococcus aureus and Pseudomonas aeruginosa were the predominant clinical pathogens responsible for bacterial infections. The circumstantial detection and detailed monitoring of the intensity and growth of different pathogenic bacteria in clinical patients as well as tests of drug sensitivity during burn recovery are particularly important to provide guidelines for the application of antibiotics and other related drugs. Careful collection and correct, standard culture of bacterial specimens are also crucial to improve the efficiency of bacterial infection detection. Effective monitoring and timely clinical treatment in patients may help reduce the possibility and rate of infection as well as alleviate the effects of drug resistance among patients in burn centers."
"Role of d-mannose in the prevention of recurrent uncomplicated cystitis: State of the art and future perspectives","De Nunzio C., Bartoletti R., Tubaro A., Simonato A., Ficarra V.","Antibiotics","10.3390/antibiotics10040373","10","4","2021","Background: Urinary tract infections (UTI) are highly frequent in women, with a significant impact on healthcare resources. Although antibiotics still represent the standard treatment to manage recurrent UTI (rUTI), D-mannose, an inert monosaccharide that is metabolized and excreted in urine and acts by inhibiting bacterial adhesion to the urothelium, represents a promising nonantibiotic prevention strategy. The aim of this narrative review is to critically analyze clinical studies reporting data concerning the efficacy and safety of D-mannose in the management of rUTIs. Methods: A nonsystematic literature search, using the Pubmed, EMBASE, Scopus, Web of science, Cochrane Central Register of Controlled Trials, and Cochrane Central Database of Systematic Reviews databases, was performed for relevant articles published between January 2010 and January 2021. The following Medical Subjects Heading were used: “female/woman”, “urinary tract infection”, and “D-mannose”. Only clinical studies, systematic reviews, and meta-analyses reporting efficacy or safety data on D-mannose versus placebo or other competitors were selected for the present review. Evidence was limited to human data. The selected studies were organized in two categories according to the presence or not of a competitor to D-mannose. Results: After exclusion of non-pertinent studies/articles, 13 studies were analyzed. In detail, six were randomized controlled trials (RCTs), one a randomized cross-over trial, five prospective cohort studies, and one a retrospective analysis. Seven studies compared D-mannose to placebo or others drugs/dietary supplements. Six studies evaluated the efficacy of D-mannose comparing follow-up data with the baseline. D-mannose is well tolerated, with few reported adverse events (diarrhea was reported in about 8% of patients receiving 2 g of D-mannose for at least 6 months). Most of the studies also showed D-mannose can play a role in the prevention or rUTI or urodynamics-associated UTI and can overlap antibiotic treatments in some cases. The possibility to combine D-mannose with polyphenols or Lactobacillus seems another important option for UTI prophylaxis. However, the quality of the collected studies was very low, generating, consequently, a weak grade of recommendations as suggested by international guidelines. Data on D-mannose dose, frequency, and duration of treatment are still lacking. Conclusion: Dmannose alone or in combination with several dietary supplements or Lactobacillus has a potential role in the non antimicrobial prophylaxis or recurrent UTI in women. Despite its frequent prescription in real-life practice, we believe that further well-designed studies are urgently needed to definitively support the role of D-mannose in the management of recurrent UTIs in women."
"Basic pharmacological mechanisms and clinical evidence of the efficacy of hochuekkito against infectious diseases and its potential for use against COVID-19","Takayama S., Kikuchi A., Makino T., Kainuma M., Namiki T., Ito T.","Traditional and Kampo Medicine","10.1002/tkm2.1264","8","1","2021","Background: Hochuekkito extract (HET) has multiple effects through the digestive and immune systems, including for acute viral infection and chronic inflammation. We review basic pharmacological and clinical researches of HET and discuss the effects of HET against the pandemic COVID-19. Methods: We reviewed pharmacological studies from 1996 to 30 April 2020 that used experimental animals orally treated with HET and randomized controlled trials (RCTs) from 2000 to 30 April 2020. Results: Altogether, 64 pharmacological studies reported immuno-stimulatory effects against infection and cancer, immuno-modulative effects against allergy and some inflammatory diseases, and ameliorating effects against exhaustion and frailty. Nine RCTs showed improvement of pulmonary Mycobacterium avium complex disease on chest X-ray; improved systemic inflammation, nutrition, and quality of life of patients with chronic obstructive pulmonary disease and a decrease in the number getting common cold and exacerbations; reduction of soluble interleukin-2 receptor and the serum cortisol concentration of postoperative patients; a reduction of the incidence of inflammatory complications and C-reactive protein elevation after cerebrovascular disease; a reduction of the volume of steroid and tacrolimus during the treatment of atopic dermatitis; a healing effect for intractable chronic wounds; improvement of the physical status of elderly weak patients; and improvement of the fatigue level of cancer patients. Conclusion: CODIV-19 is characterized by high risk for the aged and people with other disease complications, cytokine hyperactivity in the severe stage, and sequelae in the recovery stage. Considering the immune-stimulative/modulative effects of HET on inflammatory conditions and against exhaustion and frailty, it may be useful for prevention, treatment, and recovery from COVID-19."
"Review on arakoda (Tafenoquine) and its approach as an anti-malarial agent","Sana S., Abed M.","Research Journal of Pharmacy and Technology","10.52711/0974-360X.2021.00412","14","4","2021","Tafenoquine is an analogue of primaquine with an improved therapeutic and safety profile. It has a long half-life and activity against liver-stage malaria parasites, so may be useful for chemoprophylaxis. Antimalarial agents are drugs used for the treatment or prophylaxis of malaria. Malaria is caused by four species of Plasmodium, such as Plasmodium falciparum, P. malariae, P. ovale, and P. vivax. Arakoda contains tafenoquine succinate, an antimalarial agent for oral administration. The molecular formula of tafenoquine succinate is C(24)H(28)F(3)N(3)O(3)∙C(4)H(6)O(4) and its molecular weight is 581.6 as the succinate salt. It is given in prophylaxis of malaria patient aged 18 years older. Tafenoquine is active against pre-erythrocytic (liver) and erythrocytic (asexual) forms as well as gametocytes of Plasmodium species. G6PD test is performed before giving the drug. Analytical studies were on NMR, IR, MS, HPLC, Flourimetry analysis. In vitro studies have shown that tafenoquine presents an average 50% inhibitory concentration of 0.436mcg against blood stages of seven strains of P. falciparum. The long‐ acting 8‐ aminoquinoline tafenoquine (TQ) co-administered with chloroquine (CQ) may radically cure Plasmodium vivax malaria. Coadministration therapy was evaluated for a pharmacokinetic interaction and for pharmacodynamic, safety and tolerability characteristics. Volume of distribution. The activation of tafenoquine needs the activity of CYP 2D6 liver microsomal enzyme. Routes of elimination are through feces."
"Antibiotic prophylaxis for prevention of spontaneous bacterial peritonitis in liver cirrhosis: Systematic review","Pimentel R.A.G.R., Gregório C., Figueiredo P.","Acta Gastro-Enterologica Belgica","10.51821/84.2.333","84","2","2021","Background and aim: Spontaneous bacterial peritonitis is a potentially life-threatening infection in patients with liver cirrhosis and ascites. Its prevention is vital to improve prognosis of cirrhotic patients. The main objective of this systematic review was to evaluate what is the most efficacious and safest antibiotic prophylactic strategy. Methods: Studies were located by searching PubMed and Cochrane Central Register of Controlled Trials in The Cochrane Library until February 2019. Randomized controlled trials evaluating primary or secondary spontaneous bacterial peritonitis prophylaxis in cirrhotic patients with ascites were included. The selection of studies was performed in two stages: screening of titles and abstracts, and assessment of the full papers identified as relevant, considering the inclusion criteria. Data were extracted in a standardized way and synthesized qualitatively. Results: Fourteen studies were included. This systematic review demonstrated that daily norfloxacin is effective as a prophylactic antibiotic for the prevention of spontaneous bacterial peritonitis in patients with cirrhosis. Once weekly ciprofloxacin was not inferior to once daily norfloxacin, with good tolerance and no induced resistance. Trimethoprim-sulfamethoxazole and norfloxacin have similar efficacy for primary and secondary prophylaxis of spontaneous bacterial peritonitis, however, trimethoprim-sulfa-methoxazole was associated with an increased risk of developing an adverse event. Rifaximin was more effective than norfloxacin in the secondary prophylaxis of spontaneous bacterial peritonitis, with a significant decrease in adverse events and mortality rate. Conclusions: Continuous long-term selective intestinal decontamination with norfloxacin is the most widely used prophylactic strategy in spontaneous bacterial peritonitis, yet other equally effective and safe options are available."
"Growth Delay in Inflammatory Bowel Diseases: Significance, Causes, and Management","Wong K., Isaac D.M., Wine E.","Digestive Diseases and Sciences","10.1007/s10620-020-06759-5","66","4","2021","Growth delay with height and weight impairment is a common feature of pediatric inflammatory bowel diseases (PIBD). Up to 2/3 of Crohn Disease patients have impaired weight at diagnosis, and up to 1/3 have impaired height. Ulcerative colitis usually manifests earlier with less impaired growth, though patients can be affected. Ultimately, growth delay, if not corrected, can reduce final adult height. Weight loss, reduced bone mass, and pubertal delay are also concerns associated with growth delay in newly diagnosed PIBD patients. The mechanisms for growth delay in IBD are multifactorial and include reduced nutrient intake, poor absorption, increased fecal losses, as well as direct effects from inflammation and treatment modalities. Management of growth delay requires optimal disease control. Exclusive enteral nutrition (EEN), biologic therapy, and corticosteroids are the primary induction strategies used in PIBD, and both EEN and biologics positively impact growth and bone development. Beyond adequate disease control, growth delay and pubertal delay require a multidisciplinary approach, dependent on diligent monitoring and identification, nutritional rehabilitation, and involvement of endocrinology and psychiatry services as needed. Pitfalls that clinicians may encounter when managing growth delay include refeeding syndrome, obesity (even in the setting of malnutrition), and restrictive diets. Although treatment of PIBD has improved substantially in the last several decades with the era of biologic therapies and EEN, there is still much to be learned about growth delay in PIBD in order to improve outcomes."
"The role of diet in the pathophysiology and management of irritable bowel syndrome","El-Salhy M., Patcharatrakul T., Gonlachanvit S.","Indian Journal of Gastroenterology","10.1007/s12664-020-01144-6","40","2","2021","Irritable bowel syndrome (IBS) is a chronic gastrointestinal (GI) disorder that reportedly affects 5% to 20% of the world population. The etiology of IBS is not completely understood, but diet appears to play an important role in its pathophysiology. Asian diets differ considerably from those in Western countries, which might explain differences in the prevalence, sex, and clinical presentation seen between patients with IBS in Asian and Western countries. Dietary regimes such as a low-fermentable oligo-, di-, monosaccharides, and polyols (FODMAP) diet and the modified National Institute for Health and Care Excellence (NICE) diet improve both symptoms and the quality of life in a considerable proportion of IBS patients. It has been speculated that diet is a prebiotic for the intestinal microbiota and favors the growth of certain bacteria. These bacteria ferment the dietary components, and the products of fermentation act upon intestinal stem cells to influence their differentiation into enteroendocrine cells. The resulting low density of enteroendocrine cells accompanied by low levels of certain hormones gives rise to intestinal dysmotility, visceral hypersensitivity, and abnormal secretion. This hypothesis is supported by the finding that changing to a low-FODMAP diet restores the density of GI cells to the levels in healthy subjects. These changes in gut endocrine cells caused by low-FODMAP diet are also accompanied by improvements in symptoms and the quality of life."
"Pharmacotherapy for Frontotemporal Dementia","Khoury R., Liu Y., Sheheryar Q., Grossberg G.T.","CNS Drugs","10.1007/s40263-021-00813-0","35","4","2021","Frontotemporal dementia is a heterogeneous spectrum of neurodegenerative disorders. The neuropathological inclusions are tau proteins, TAR DNA binding protein 43 kDa-TDP-43, or fused in sarcoma-ubiquitinated inclusions. Genetically, several autosomal mutations account for the heritability of the disorder. Phenotypically, frontotemporal dementia can present with a behavioral variant or a language variant called primary progressive aphasia. To date, there are no approved symptomatic or disease-modifying treatments for frontotemporal dementia. Currently used therapies are supported by low-level of evidence (mostly uncontrolled) studies. The off-label use of drugs is also limited by their side-effect profile including an increased risk of confusion, parkinsonian symptoms, and risk of mortality. Emerging disease-modifying treatments currently target the progranulin and the expansion on chromosome 9 open reading frame 72 genes as well as tau deposits. Advancing our understanding of the pathophysiology of the disease and improving the design of future clinical trials are much needed to optimize the chances to obtain positive outcomes."
"How effective is the addition of prebiotics, probiotics andsynbiotics in the treatment of cow's milk protein allergyin infants and children? A systematic review","Evans E., Connor Z.L.","Journal of Human Nutrition and Dietetics","10.1111/jhn.12891","34","SUPPL 1","2021","Background: Cow's Milk Protein Allergy (CMPA) is one ofthe most prevalent allergies in infancy ranging from 0.5%to 3% in the first year of life. Recent trials suggest the possible use of prebiotics, probiotics and synbiotics can helpovercome gastrointestinal and dermatological symptomsthrough increasing the proportion of faecal bacteria (1)Aim: This review aims to determine the effectiveness ofprebiotics, probiotics and synbiotics when added to formulain alleviating allergy symptoms and increasing faecal bacteria in CMPA among infants and children up to the age of 3.Methods: A comprehensive search of MEDLINE, CINAHLand Cochrane Library was conducted using a search strategyinvolving subject heading, keywords and Boolean operators(AND/OR) between January 1999 to November 2019. Aninvestigator, who was not blinded, assessed the eligibility ofthe studies against an inclusion and exclusion criteria, established a priori which included any strain or dose of synbiotic,prebiotic or probiotic taken in any form alongside formulawithin infants and children. The same investigator extractedthe data from a modified extraction form. The Cochranerisk of bias tool and Critical Appraisal Skills Programme checklist was conducted to assess quality and level of confidence of each review. Ethical approval was approved byCoventry University Ethics Committee.Result: From 94 screened titles, eight randomised controltrials involving 623 patients with CMPA met eligibility criteria with a mean age between 2.2 months and 9.5 months.Therefore, the studies did not focus on effects in children.The duration of the intervention ranged from 4 to 26 weeksand no studies reported prebiotics as their sole intervention. Five studies added the intervention to formula eitherto amino acid, casein or whey-based formula. However, theother three studies used liquid drops, a capsule or a freezedried powder to be added to formula. All trials used a control group with the same standard formula alone or witheither a placebo capsule, drops or powder. The primary interest, relief of symptoms, was measured using eczema assessment or through assessor or parent-reported outcomes.These pooled results showed mixed evidence around reliefof diarrhoea in both probiotics and synbiotics but showedno significant improvement in respiratory, dermatologicaland other symptoms reported. For the secondary outcomeof interest, results from five studies showed benefit of probiotics and synbiotics in increasing faecal bifidobacteriaand E. rectale/C. coccoides (ER/CC) strains which is ofimportance as low levels of bifidobacteria colonisation inparticular has been linked to allergy development (2) andlinks between microbiota have found in development ofasthma, inflammatory bowel disease and metabolic disorders (3)Discussion: Five of the eight studies raised concerns overthe risk of bias which limits the validity of these results.Furthermore, one study was stopped early due to adverseevents, there is more likely to show extreme intervention effects. Also, there were differences in the type of interventionutilised (different strains or forms such as liquids and powders) and a difference in symptom which lead to difficultymaking comparisons.Conclusions: Overall, there is low certainty that the use ofprobiotics and synbiotics, when added to formula, can improve symptom relief and increase faecal bacteria in infantswith CMPA due to low sample size and mixed bias from thestudies included. No papers focused on prebiotics so there isno certainty of the effects on alleviating symptoms or changing faecal bacteria."
