title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
"The Impact of School Water, Sanitation, and Hygiene Interventions on the Health of Younger Siblings of Pupils: a Cluster-Randomized Trial in Kenya","Dreibelbis, Robert, Matthew C. Freeman, Leslie E. Greene, Shadi Saboori, and Richard Rheingans. “The Impact of School Water, Sanitation, and Hygiene Interventions on the Health of Younger Siblings of Pupils: A Cluster-Randomized Trial in Kenya.” American Journal of Public Health 104, no. 1 (2014): e91–97. https://doi.org/10.2105/AJPH.2013.301412.",0,Bauza et al 2023,2014,1,1,1,1,1,0,,,,,
"A planetary health innovation for disease, food and water challenges in Africa.","Rohr, Jason R., Alexandra Sack, Sidy Bakhoum, et al. “A Planetary Health Innovation for Disease, Food and Water Challenges in Africa.” Nature 619, no. 7971 (2023): 782–87. https://doi.org/10.1038/s41586-023-06313-z.",1,New addition,2023,1,1,1,1,1,0,,,,,
"Impact of a school-based water and hygiene intervention on child health and school attendance in Addis Ababa, Ethiopia: a cluster-randomised controlled trial","Bick, Sarah, Alem Ezezew, Charles Opondo, et al. “Impact of a School-Based Water and Hygiene Intervention on Child Health and School Attendance in Addis Ababa, Ethiopia: A Cluster-Randomised Controlled Trial.” BMC Medicine 22, no. 1 (2024): 348. https://doi.org/10.1186/s12916-024-03558-x.",1,New addition,2024,1,1,1,1,1,0,,,,,
"Improved water supply infrastructure to reduce acute diarrhoeal diseases and cholera in Uvira, Democratic Republic of the Congo: Results and lessons learned from a pragmatic trial.","Gallandat, Karin, Amy Macdougall, Aurélie Jeandron, et al. “Improved Water Supply Infrastructure to Reduce Acute Diarrhoeal Diseases and Cholera in Uvira, Democratic Republic of the Congo: Results and Lessons Learned from a Pragmatic Trial.” PLOS Neglected Tropical Diseases 18, no. 7 (2024): e0012265. https://doi.org/10.1371/journal.pntd.0012265.",1,New addition,2024,1,1,1,1,0,,,,,,
A case analysis of a mass treatment approach to control GI and water-related conditions in Sudan.,"Salih, Alaaddin, and Mohamed Mohamed. “A Case Analysis of a Mass Treatment Approach to Control GI and Water-Related Conditions in Sudan.” BMC Public Health 21, no. 1 (2021): 2111. https://doi.org/10.1186/s12889-021-12154-0.",1,New addition,2021,1,1,1,1,0,,,,,,
"Environmental and behavioural exposure pathways associated with diarrhoea and enteric pathogen detection in 5-month-old, periurban Kenyan infants: a cross-sectional study.","Baker, Kelly K., Jane Awiti Odhiambo Mumma, Sheillah Simiyu, et al. Environmental and Behavioural Exposure Pathways Associated with Diarrhoea and Enteric Pathogen Detection in 5-Month-Old, Periurban Kenyan Infants: A Cross-Sectional Study. Global Health. British Medical Journal Publishing Group, October 1, 2022. https://doi.org/10.1136/bmjopen-2021-059878.",1,New addition,2022,1,1,1,1,0,,,,,,
"Multiscalar Evaluation of the Water Distribution System and Diarrheal Disease Risk in Addis Ababa, Ethiopia","Espira, Leon M., Brook Gessese, Bayable A. Kassa, et al. “Multiscalar Evaluation of the Water Distribution System and Diarrheal Disease Risk in Addis Ababa, Ethiopia.” Environmental Science & Technology 57, no. 36 (2023): 13313–24. https://doi.org/10.1021/acs.est.2c08976.",1,New addition,2023,1,1,1,1,0,,,,,,
"Impact of integrated water, sanitation, hygiene, health and nutritional interventions on diarrhoea disease epidemiology and microbial quality of water in a resource-constrained setting in Kenya: a controlled intervention study","Wandera, Ernest Apondi, Betty Muriithi, Cyrus Kathiiko, et al. “Impact of Integrated Water, Sanitation, Hygiene, Health and Nutritional Interventions on Diarrhoea Disease Epidemiology and Microbial Quality of Water in a Resource-Constrained Setting in Kenya: A Controlled Intervention Study.” Tropical Medicine & International Health 27, no. 8 (2022): 669–77. https://doi.org/10.1111/tmi.13793.",1,New addition,2022,1,1,1,1,0,,,,,,
Evidence for long-term efficacy of a membrane filtration device in rural villages in Ghana,"Boaheng, Joseph Marfo, Jochen G. Raimann, Philip Narh, et al. “Evidence for Long-Term Efficacy of a Membrane Filtration Device in Rural Villages in Ghana.” Scientific Reports 14 (March 2024): 5271. https://doi.org/10.1038/s41598-024-55977-8.",1,New addition,2024,1,1,1,1,0,,,,,,
"Prevalence of diarrheal diseases among schools with and without water, sanitation and hygiene programs in rural communities of north-eastern Ethiopia: a comparative cross-sectional study","Gebrehiwot, Tefera, Biniyam Sahiledengle Geberemariyam, Teklit Gebretsadik, and Azeb Gebresilassie. “Prevalence of Diarrheal Diseases among Schools with and without Water, Sanitation and Hygiene Programs in Rural Communities of North-Eastern Ethiopia: A Comparative Cross-Sectional Study.” Rural and Remote Health 20, no. 4 (2020). https://doi.org/10.22605/RRH4907.",1,New addition,2020,1,1,1,1,0,,,,,,
"Prevalence and Determinants of Diarrheal Diseases among Under-Five Children in Horo Guduru Wollega Zone, Oromia Region, Western Ethiopia: a Community-Based Cross-Sectional Study","Alemayehu, Kefalew, Lemessa Oljira, Melake Demena, Abdi Birhanu, and Dasselegn Workineh. “Prevalence and Determinants of Diarrheal Diseases among Under-Five Children in Horo Guduru Wollega Zone, Oromia Region, Western Ethiopia: A Community-Based Cross-Sectional Study.” The Canadian Journal of Infectious Diseases & Medical Microbiology = Journal Canadien Des Maladies Infectieuses Et De La Microbiologie Medicale 2021 (2021): 5547742. https://doi.org/10.1155/2021/5547742.",1,New addition,2021,1,1,1,1,0,,,,,,
Prevalence of diarrheal disease and associated factors among under-five children in flood-prone settlements of Northwest Ethiopia: A cross-sectional community-based study,"Birhan, Tsegaye Adane, Bikes Destaw Bitew, Henok Dagne, et al. “Prevalence of Diarrheal Disease and Associated Factors among Under-Five Children in Flood-Prone Settlements of Northwest Ethiopia: A Cross-Sectional Community-Based Study.” Frontiers in Pediatrics 11 (January 2023). https://doi.org/10.3389/fped.2023.1056129.",1,New addition,2023,1,1,1,1,0,,,,,,
"Level of JMP ladders for water, sanitation, and hygiene (WASH) services among healthcare facilities of Bishoftu Town, Ethiopia: An implication of healthcare-associated infection prevention status","Girmay, Aderajew Mekonnen, Moa Abate Kenea, Sisay Derso Mengesha, et al. “Level of JMP Ladders for Water, Sanitation, and Hygiene (WASH) Services among Healthcare Facilities of Bishoftu Town, Ethiopia: An Implication of Healthcare-Associated Infection Prevention Status.” Journal of Water, Sanitation and Hygiene for Development 13, no. 6 (2023): 415–23. https://doi.org/10.2166/washdev.2023.230.",1,New addition,2023,1,1,1,1,0,,,,,,
"Access to water, sanitation and hygiene (WASH) services and drinking water contamination risk levels in households of Bishoftu Town, Ethiopia: A cross-sectional study","Girmay, Aderajew Mekonnen, Sisay Derso Mengesha, Daniel A. Dinssa, et al. “Access to Water, Sanitation and Hygiene (WASH) Services and Drinking Water Contamination Risk Levels in Households of Bishoftu Town, Ethiopia: A Cross-Sectional Study.” Health Science Reports 6, no. 11 (2023): e1662. https://doi.org/10.1002/hsr2.1662.",1,New addition,2023,1,1,1,1,0,,,,,,
"Associations of WHO/UNICEF Joint Monitoring Program (JMP) Water, Sanitation and Hygiene (WASH) Service Ladder service levels and sociodemographic factors with diarrhoeal disease among children under 5 years in Bishoftu town, Ethiopia: a cross-sectional study","Girmay, Aderajew Mekonnen, Abel Weldetinsae, Sisay Derso Mengesha, et al. “Associations of WHO/UNICEF Joint Monitoring Program (JMP) Water, Sanitation and Hygiene (WASH) Service Ladder Service Levels and Sociodemographic Factors with Diarrhoeal Disease among Children under 5 Years in Bishoftu Town, Ethiopia: A Cross-Sectional Study.” BMJ Open 13, no. 7 (2023): e071296. https://doi.org/10.1136/bmjopen-2022-071296.",1,New addition,2023,1,1,1,1,0,,,,,,
"Effectiveness of water chlorination programs along the emergency-transition-post-emergency continuum: Evaluations of bucket, in-line, and piped water chlorination programs in Cox's Bazar","Sikder, Mustafa, Gabrielle String, Yarmina Kamal, Michelle Farrington, Abm Sadiqur Rahman, and Daniele Lantagne. “Effectiveness of Water Chlorination Programs along the Emergency-Transition-Post-Emergency Continuum: Evaluations of Bucket, in-Line, and Piped Water Chlorination Programs in Cox’s Bazar.” Water Research 178 (July 2020): 115854. https://doi.org/10.1016/j.watres.2020.115854.",1,New addition,2020,1,1,1,1,0,,,,,,
"Impact of Transitioning to Treated Water on Diarrhea Reduction: A Cross-Sectional and Ecological Study in Southwestern Goiás, Brazil","Mazurek, Laise, Camila Botelho Miguel, Henrique Polizelli Pinto Neto, et al. “Impact of Transitioning to Treated Water on Diarrhea Reduction: A Cross-Sectional and Ecological Study in Southwestern Goiás, Brazil.” International Journal of Environmental Research and Public Health 22, no. 3 (2025): 436. https://doi.org/10.3390/ijerph22030436.",1,New addition,2025,1,1,1,1,0,,,,,,
Diarrhoea among Children Aged 5 Years and Microbial Drinking Water Quality Compliance: Trends Analysis Study in South Africa (2008–2018),"Malebatja, Mohora Feida, and Mpata Mathildah Mokgatle. “Diarrhoea among Children Aged 5 Years and Microbial Drinking Water Quality Compliance: Trends Analysis Study in South Africa (2008-2018).” International Journal of Environmental Research and Public Health 20, no. 1 (2022): 598. https://doi.org/10.3390/ijerph20010598.",1,New addition,2023,1,1,1,1,0,,,,,,
Living environment and health of under-five children in urban slums of a coastal region in South India,"Roja, V. R., Prakash Narayanan, Varalakshmi Chandra Sekaran, and M. G. Ajith Kumar. “Living Environment and Health of Under-Five Children in Urban Slums of a Coastal Region in South India.” Ghana Medical Journal 54, no. 4 (2020): 238–44. https://doi.org/10.4314/gmj.v54i4.6.",1,New addition,2020,1,1,1,1,0,,,,,,
"Drinking water quality and associated factors in Bahir Dar City and the surrounding rural areas, Northwest Ethiopia: a community-based cross-sectional study","Sitotaw, Baye, Derebew Teferi, Zinash Wossen, and Beselam Tadesse. “Drinking Water Quality and Associated Factors in Bahir Dar City and the Surrounding Rural Areas, Northwest Ethiopia: A Community-Based Cross-Sectional Study.” Journal of Water, Sanitation and Hygiene for Development 13, no. 8 (2023): 584–94. https://doi.org/10.2166/washdev.2023.049.",1,New addition,2023,1,1,1,1,0,,,,,,
"Enteric pathogens from water, hands, surface, soil, drainage ditch, and stream exposure points in a low-income neighborhood of Nairobi, Kenya","Bauza, Valerie, Vincent Madadi, Robinson Ocharo, Thanh H. Nguyen, and Jeremy S. Guest. “Enteric Pathogens from Water, Hands, Surface, Soil, Drainage Ditch, and Stream Exposure Points in a Low-Income Neighborhood of Nairobi, Kenya.” Science of The Total Environment 709 (March 2020): 135344. https://doi.org/10.1016/j.scitotenv.2019.135344.",1,New addition,2020,1,1,1,1,0,,,,,,
"Moderate to severe diarrhea and associated factors among under-five children in Wonago district, South Ethiopia: a cross-sectional study","Tesfaye, Tinsae Shemelise, Abowak Ulfata Magarsa, and Tadesse Mekonen Zeleke. “Moderate to Severe Diarrhea and Associated Factors Among Under-Five Children in Wonago District, South Ethiopia: A Cross-Sectional Study.” Pediatric Health, Medicine and Therapeutics 11 (October 2020): 437–43. https://doi.org/10.2147/PHMT.S266828.",1,New addition,2020,1,1,1,1,0,,,,,,
The Impact of Chlorinated Drinking Water Exposure on Gut Microbiota Development in Infants: a Randomised Controlled Trial,"Parkin, Kimberley, Claus T. Christophersen, Valerie Verhasselt, et al. “The Impact of Chlorinated Drinking Water Exposure on Gut Microbiota Development in Infants: A Randomised Controlled Trial.” Preprint, medRxiv, September 16, 2024. https://doi.org/10.1101/2024.09.15.24313601.",1,New addition,2024,1,1,1,0,,,,,,,
Solar disinfection – An appropriate water treatment method to inactivate faecal bacteria in cold climates,,1,New addition,2022,1,1,1,0,,,,,,,
Drinking Water From Private Wells and Risks to Children,"Woolf, Alan D., Bryan D. Stierman, Elizabeth D. Barnett, Lori G. Byron, COUNCIL ON ENVIRONMENTAL HEALTH AND CLIMATE CHANGE, and COMMITTEE ON INFECTIOUS DISEASES. “Drinking Water From Private Wells and Risks to Children.” Pediatrics 151, no. 2 (2023): e2022060645. https://doi.org/10.1542/peds.2022-060645.",1,New addition,2023,1,1,1,0,,,,,,,
The impact of water quality on children's education: evidence from 39 districts in the Ganges Basin of India,"Islam, Md Ohiul, and Moumita Ghorai. “The Impact of Water Quality on Children’s Education: Evidence from 39 Districts in the Ganges Basin of India.” Environment and Development Economics 29, no. 5 (2024): 359–78. https://doi.org/10.1017/S1355770X24000123.",1,New addition,2024,1,1,0,,,,,,,,
Stunting Status and Exposure to Infection and Inflammation in Early Life Shape Antibacterial Immune Cell Function Among Zimbabwean Children.,"Mutasa, Kuda, Joice Tome, Sandra Rukobo, et al. “Stunting Status and Exposure to Infection and Inflammation in Early Life Shape Antibacterial Immune Cell Function Among Zimbabwean Children.” Frontiers in Immunology 13 (June 2022): 899296. https://doi.org/10.3389/fimmu.2022.899296.",1,New addition,2022,1,1,0,,,,,,,,
Evaluation of an on-site sanitation intervention against childhood diarrhea and acute respiratory infection 1 to 3.5 years after implementation: Extended follow-up of a cluster-randomized controlled trial in rural Bangladesh.,"Contreras, Jesse D., Mahfuza Islam, Andrew Mertens, et al. “Evaluation of an On-Site Sanitation Intervention against Childhood Diarrhea and Acute Respiratory Infection 1 to 3.5 Years after Implementation: Extended Follow-up of a Cluster-Randomized Controlled Trial in Rural Bangladesh.” PLoS Medicine 19, no. 8 (2022): e1004041. https://doi.org/10.1371/journal.pmed.1004041.",1,New addition,2022,1,1,0,,,,,,,,
"Influence of Temperature and Precipitation on the Effectiveness of Water, Sanitation, and Handwashing Interventions against Childhood Diarrheal Disease in Rural Bangladesh: A Reanalysis of the WASH Benefits Bangladesh Trial.","Nguyen, Anna T., Jessica A. Grembi, Marie Riviere, et al. “Influence of Temperature and Precipitation on the Effectiveness of Water, Sanitation, and Handwashing Interventions against Childhood Diarrheal Disease in Rural Bangladesh: A Reanalysis of the WASH Benefits Bangladesh Trial.” Environmental Health Perspectives 132, no. 4 (2024): 47006. https://doi.org/10.1289/EHP13807.",1,New addition,2024,1,1,0,,,,,,,,
"Treatment heterogeneity of water, sanitation, hygiene, and nutrition interventions on child growth by environmental enteric dysfunction and pathogen status for young children in Bangladesh","Butzin-Dozier, Zachary, Yunwen Ji, Jeremy Coyle, et al. “Treatment Heterogeneity of Water, Sanitation, Hygiene, and Nutrition Interventions on Child Growth by Environmental Enteric Dysfunction and Pathogen Status for Young Children in Bangladesh.” PLOS Neglected Tropical Diseases 19, no. 2 (2025): e0012881. https://doi.org/10.1371/journal.pntd.0012881.",1,New addition,2025,1,1,0,,,,,,,,
"Understanding the effectiveness of water, sanitation, and hygiene interventions: a counterfactual simulation approach to generalizing the outcomes of intervention trials","Brouwer, Andrew F., Mondal H. Zahid, Marisa C. Eisenberg, et al. “Understanding the Effectiveness of Water, Sanitation, and Hygiene Interventions: A Counterfactual Simulation Approach to Generalizing the Outcomes of Intervention Trials.” Environmental Health Perspectives 132, no. 12 (2024): 127003. https://doi.org/10.1289/EHP15200.",1,New addition,2022,1,1,0,,,,,,,,
"Impact of Water Quality, Sanitation, Handwashing, and Nutritional Interventions on Enteric Infections in Rural Zimbabwe: the Sanitation Hygiene Infant Nutrition Efficacy (SHINE) Trial","Rogawski McQuade, Elizabeth T., James A. Platts-Mills, Jean Gratz, et al. “Impact of Water Quality, Sanitation, Handwashing, and Nutritional Interventions on Enteric Infections in Rural Zimbabwe: The Sanitation Hygiene Infant Nutrition Efficacy (SHINE) Trial.” The Journal of Infectious Diseases 221, no. 8 (2020): 1379–86. https://doi.org/10.1093/infdis/jiz179.",1,New addition,2020,1,1,0,,,,,,,,
"Water, sanitation, handwashing, and nutritional interventions can reduce child antibiotic use: evidence from Bangladesh and Kenya.","Ercumen, Ayse, Andrew N. Mertens, Zachary Butzin-Dozier, et al. “Water, Sanitation, Handwashing, and Nutritional Interventions Can Reduce Child Antibiotic Use: Evidence from Bangladesh and Kenya.” Nature Communications 16, no. 1 (2025): 556. https://doi.org/10.1038/s41467-024-55801-x.",1,New addition,2025,1,1,0,,,,,,,,
"Protocol for a Trial Assessing the Impacts of School-Based WaSH Interventions on Children's Health Literacy, Handwashing, and Nutrition Status in Low- and Middle-Income Countries",,1,New addition,2020,1,1,0,,,,,,,,
The interplay between WASH practices and vaccination with oral cholera vaccines in protecting against cholera in urban Bangladesh: Reanalysis of a cluster-randomized trial,"Chowdhury, Fahima, Asma Binte Aziz, Faisal Ahmmed, et al. “The Interplay between WASH Practices and Vaccination with Oral Cholera Vaccines in Protecting against Cholera in Urban Bangladesh: Reanalysis of a Cluster-Randomized Trial.” Vaccine 41, no. 14 (2023): 2368–75. https://doi.org/10.1016/j.vaccine.2023.02.054.",1,New addition,2023,1,1,0,,,,,,,,
Community Mobilization and Community Incentivization (CoMIC) Strategy for Child Health in a Rural Setting of Pakistan: study Protocol for a Randomized Controlled Trial,"Das, Jai K., Rehana A. Salam, Arjumand Rizvi, Sajid B. Soofi, and Zulfiqar A. Bhutta. “Community Mobilization and Community Incentivization (CoMIC) Strategy for Child Health in a Rural Setting of Pakistan: Study Protocol for a Randomized Controlled Trial.” Methods and Protocols 6, no. 2 (2023): 30. https://doi.org/10.3390/mps6020030.",1,New addition,2023,1,1,0,,,,,,,,
Hand-washing promotion for preventing diarrhoea,,1,New addition,2021,1,1,0,,,,,,,,
Effects on childhood infections of promoting safe and hygienic complementary-food handling practices through a community-based programme: A cluster randomised controlled trial in a rural area of The Gambia.,"Manaseki-Holland, Semira, Buba Manjang, Karla Hemming, et al. “Effects on Childhood Infections of Promoting Safe and Hygienic Complementary-Food Handling Practices through a Community-Based Programme: A Cluster Randomised Controlled Trial in a Rural Area of The Gambia.” PLoS Medicine 18, no. 1 (2021): e1003260. https://doi.org/10.1371/journal.pmed.1003260.",1,New addition,2021,1,1,0,,,,,,,,
"Health Outcomes of an Integrated Behaviour-Centred Water, Sanitation, Hygiene and Food Safety Intervention-A Randomised before and after Trial","Morse, Tracy, Elizabeth Tilley, Kondwani Chidziwisano, Rossanie Malolo, and Janelisa Musaya. “Health Outcomes of an Integrated Behaviour-Centred Water, Sanitation, Hygiene and Food Safety Intervention-A Randomised before and after Trial.” International Journal of Environmental Research and Public Health 17, no. 8 (2020): 2648. https://doi.org/10.3390/ijerph17082648.",1,New addition,2020,1,1,0,,,,,,,,
Benefits and Costs of a Community-Led Total Sanitation Intervention in Rural Ethiopia-A Trial-Based ex post Economic Evaluation.,"Cha, Seungman, Sunghoon Jung, Dawit Belew Bizuneh, et al. “Benefits and Costs of a Community-Led Total Sanitation Intervention in Rural Ethiopia-A Trial-Based Ex Post Economic Evaluation.” International Journal of Environmental Research and Public Health 17, no. 14 (2020): 5068. https://doi.org/10.3390/ijerph17145068.",1,New addition,2020,1,1,0,,,,,,,,
"Food, water, and sanitation insecurities: Complex linkages and implications for achieving WASH security","Workman, Cassandra L., Justin Stoler, Angela Harris, Ayse Ercumen, Joshua Kearns, and Kenneth M. Mapunda. “Food, Water, and Sanitation Insecurities: Complex Linkages and Implications for Achieving WASH Security.” Global Public Health 17, no. 11 (2022): 3060–75. https://doi.org/10.1080/17441692.2021.1971735.",1,New addition,2022,1,1,0,,,,,,,,
"Environmental factors associated with diarrhoea prevalence among under-five children in the Mataniko settlements in Honiara, Solomon Islands","Gali, Ambrose, Keshwa Krishna, John Lowry, and Masoud Mohammadnezhad. “Environmental Factors Associated with Diarrhoea Prevalence among Under-Five Children in the Mataniko Settlements in Honiara, Solomon Islands.” Rural and Remote Health 20, no. 1 (2020). https://doi.org/10.22605/RRH5308.",1,New addition,2020,1,1,0,,,,,,,,
"Improved WASH Knowledge and Practices, and Reduced Water Contamination Through Social Behavior Change, in Uganda","Moore, Ian, Stacy Griswold, Carolyn Van Sant, et al. “Improved WASH Knowledge and Practices, and Reduced Water Contamination Through Social Behavior Change, in Uganda.” Current Developments in Nutrition 7 (July 2023): 100945. https://doi.org/10.1016/j.cdnut.2023.100945.",1,New addition,2023,1,1,0,,,,,,,,
"Nutritional and health status of children 15 months after integrated school garden, nutrition, and water, sanitation and hygiene interventions: a cluster-randomised controlled trial in Nepal","Shrestha, Akina, Christian Schindler, Peter Odermatt, et al. “Nutritional and Health Status of Children 15 Months after Integrated School Garden, Nutrition, and Water, Sanitation and Hygiene Interventions: A Cluster-Randomised Controlled Trial in Nepal.” BMC Public Health 20, no. 1 (2020): 158. https://doi.org/10.1186/s12889-019-8027-z.",1,New addition,2020,1,1,0,,,,,,,,
Bacteriological quality of drinking water and its associated factors in Ethiopia: A systematic review and meta-analysis,"Daba, Chala, Leykun Berhanu, Belay Desye, Gete Berihun, and Abebe Kassa Geto. “Bacteriological Quality of Drinking Water and Its Associated Factors in Ethiopia: A Systematic Review and Meta-Analysis.” PLOS ONE 20, no. 1 (2025): e0310731. https://doi.org/10.1371/journal.pone.0310731.",1,New addition,2025,1,1,0,,,,,,,,
"Better Existing Water, Sanitation, and Hygiene Can Reduce the Risk of Cholera in an Endemic Setting: results From a Prospective Cohort Study From Kolkata, India","Islam, Md Taufiqul, Justin Im, Faisal Ahmmed, et al. “Better Existing Water, Sanitation, and Hygiene Can Reduce the Risk of Cholera in an Endemic Setting: Results From a Prospective Cohort Study From Kolkata, India.” Open Forum Infectious Diseases 10, no. 11 (2023): ofad535. https://doi.org/10.1093/ofid/ofad535.",1,New addition,2023,1,1,0,,,,,,,,
Effectiveness of a home-environmental intervention package and an early child development intervention on child health and development in high-altitude rural communities in the Peruvian Andes: a cluster-randomised controlled trial.,"Nuño, Néstor, Daniel Mäusezahl, Jan Hattendorf, Hector Verastegui, Mariela Ortiz, and Stella M. Hartinger. “Effectiveness of a Home-Environmental Intervention Package and an Early Child Development Intervention on Child Health and Development in High-Altitude Rural Communities in the Peruvian Andes: A Cluster-Randomised Controlled Trial.” Infectious Diseases of Poverty 11, no. 1 (2022): 66. https://doi.org/10.1186/s40249-022-00985-x.",1,New addition,2022,1,1,0,,,,,,,,
"Where and how can WASH work? Understanding limited impacts from a randomized control trial of water, sanitation, and hygiene interventions in a high burden setting","Kraay, Alicia N. M., Andrew F. Brouwer, Mondal H. Zahid, et al. “Where and How Can WASH Work? Understanding Limited Impacts from a Randomized Control Trial of Water, Sanitation, and Hygiene Interventions in a High Burden Setting.” Preprint, medRxiv, December 5, 2024. https://doi.org/10.1101/2024.12.03.24318379.",1,New addition,2024,1,1,0,,,,,,,,
