CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
CN-02685372,"NCT06349031,",Comparison of Efficacy & Tolerability Of PEG 4000 Versus PEG 3350+ Electrolytes for Pediatric Fecal Disimpaction,https://clinicaltrials.gov/ct2/show/NCT06349031,2024,"Childhood constipation is a common but serious gastrointestinal disorder prevalent worldwide. In approximately 90‐95% of children, it is of functional origin i.e., without an identifiable organic pathology. It accounts for 3% of pediatric outpatient visits and 25% of referrals to a pediatric gastroenterologist. Prevalence rates ranging from 0.7% to 29.6% with a median of 8.9% have been described in the older literature, with a higher prevalence in Asian population. However, in a recent study, using the Rome IV criteria, the pooled global prevalence of pediatric functional constipation is found to be 14.4% (95%CI: 11.2‐17.6). Severe longstanding constipation is distressing for the entire family and poses a substantial psychological, social, and educational strain on the child's development. Thirty to seventy‐five percent of children with functional constipation also have fecal impaction. It typically begins after several bouts of painful bowel movements, which triggers a vicious cycle of fear‐induced stool‐withholding behavior leading to more stool retention. Consequently, a significant amount of feces accumulates in the rectum forming a big fecal mass or fecaloma, causing a variety of complaints, including gastrointestinal discomfort, excessive flatulence, nausea or vomiting, poor appetite, mood swings & irritability. European Society for Pediatric Gastroenterology, Hepatology, and Nutrition (ESPGHAN) & the North American Society for Pediatric Gastroenterology, Hepatology, and Nutrition (NASPGHAN) position paper on pediatric constipation defines fecal impaction as any one of the following: i) palpation of a hard mass in the lower abdomen on physical examination, ii) a dilated rectum filled with a large amount of stool on rectal examination, iii) abdominal radiography showing excessive stool in the distal colon. The treatment strategy for functional constipation includes fecal disimpaction and maintenance therapy to ensure regular bowel movements. ESPGHAN & NASPGHAN guidelines emphasize that maintenance therapy remains ineffective until disimpaction has been achieved. If initial disimpaction is skipped, oral laxative therapy may paradoxically worsen fecal incontinence/encopresis attributable to overflow diarrhea. Polyethylene glycol (PEG) based laxatives have been recommended as the first‐line therapeutic agents for both disimpaction as well as maintenance therapy in childhood functional constipation. PEG, a biologically inert polymer of the formula H(OCH2CH2)nOH in which n is 68‐84. These are non‐absorbable polymers, that create an osmotic gradient in the intestinal lumen leading to fluid retention which in turn softens and loosens the stool. Hence, they act as osmotic laxatives. As it does not carry any electrical charge, it does not influence the movement of any other solutes. The commonly used formulations are PEG 3350 with a molecular weight between 3200 and 3700 g/mol and PEG 4000 with an approximate molecular weight of 4000 g/mol. Both are shown to be effective in pediatric constipation management in placebo‐controlled trials. However, there is scanty literature available comparing other aspects of various PEG formulations, such as tolerability, palatability, & convenience of administration, which may affect treatment adherence and thus the ultimate treatment outcome. PEG + Electrolyte (E) is more widely used than PEG for the management of constipation. This might be because of the perception that PEG + E is safer in terms of preventing electrolyte imbalance. However, several head‐to‐head trials using different PEG formulations in adult constipation patients, showed comparable efficacy and safety. Because of the inclusion of electrolytes, PEG+E tastes saltier than PEG. Many patients struggle to tolerate the unpleasant taste resulting in the high incidence of non‐compliance and treatment failure . Two studies from the adult population have demonstrated better acceptance of PEG in comparison to PEG+E . In fact, the latest meta‐analysis concluded that the addition of electrolytes to PEG does not provide any clinical benefits over PEG alone. In a recent double‐blind RCT, PEG 4000 is found to be equally efficacious and safe as PEG 3350 + E as a long‐term maintenance therapy in children with functional constipation . However, they have not described the tolerability or acceptability data of the cohort. There is only a single pediatric study that showed, PEG 4000 is equally effective and had a higher patient acceptance rate owing to significantly lesser nausea, vomiting episodes, and better palatability compared to PEG 3350. However, both these studies are majorly focused on the comparison between PEG 3350 + E versus PEG 4000 as a long‐term maintenance therapy in pediatric functional constipation. There is only a single study that compared PEG 3350 versus PEG 3350 only laxative for fecal disimpaction. Both of them were found to almost equally effective in resolution of fecal impaction, however PEG 3350 + E group had significantly higher side effects as compared to PEG 3350 only laxative. To date, no pediatric trials have compared PEG versus PEG+E on a head‐to‐head basis for the treatment of the initial but most important & crucial step of pediatric function constipation management i.e. Fecal disimpaction. Since fecal disimpaction requires administration of a significantly larger volume of PEG administration, palatability becomes a major factor determining the success of disimpaction. On the other hand, there is also of higher possibility of side effects like electrolyte & acid base imbalances because of higher purge rate during disimpaction. Comparison of both these parameters namely tolerability/palatability and safety/side effects profile of PEG versus PEG + E during fecal disimpaction in pediatric population has not been studied previously. Therefore, the present study has been planned with an aim to evaluate the efficacy & tolerability of PEG 4000 versus PEG 3350+ electrolytes for fecal disimpaction in paediatric functional constipation.",,,,Cochrane Central Register of Controlled Trials (CENTRAL),,,CTgov NCT06349031,,,Trial registry record,Constipation; Fecal Impaction,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02685372/full,
CN-02101430,"Soto, JC; Barakat, M; Drolet, MJ; Gauvin, D; Huot, C",Waterborne outbreaks: a public health concern for rural municipalities with unchlorinated drinking water distribution systems,Canadian journal of public health = revue canadienne de sante publique,2020,"OBJECTIVES: The objective of this study is to describe an important waterborne outbreak of gastrointestinal illness observed in a rural municipality of Quebec. METHODS: A population‐based retrospective cohort study was conducted to identify risk factors associated with acute gastroenteritis. Indirect surveillance data were used to estimate the extent and the resolution of the epidemic. RESULTS: The cohort consisted of 140 randomly selected individuals of whom 22 met the illness case definition (15.7% attack rate). The epidemic curve was similar to the evolution of antidiarrheal products sold by the only pharmacy in town and calls made to the Health Info Line. Bivariate analysis led to identifying five risk factors of gastrointestinal illness: consumption of municipal water, contact with someone with acute gastroenteritis (within and outside of the household), contact with a child in daycare, and being less than 35 years of age. Drinking municipal water had the highest risk ratio (RR = 24.31; 95% CI = 1.50‐393.4). Drinking water from a private artesian well was a protective factor (RR = 0.28; 95% CI = 0.09‐0.90). CONCLUSION: This study highlighted that managing the risks associated with the consumption of untreated drinking water remains an important public health challenge, particularly in small rural municipalities vulnerable to climate variability.",111,3,433‐442,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 32130716,EMBASE 631160574,,,,Journal article,"*epidemic; *microbiology; Adolescent; Adult; Aged; Aged, 80 and over; Chemistry; Child; Child, Preschool; Chlorine [analysis]; Cities [epidemiology]; City; Disease Outbreaks; Drinking Water [chemistry, *microbiology]; Female; Gastroenteritis /epidemiology; Gastroenteritis [*epidemiology]; Human; Humans; Infant; Male; Middle Aged; Middle aged; Preschool child; Public Health; Public health; Quebec; Quebec [epidemiology]; Retrospective Studies; Retrospective study; Rural Population [*statistics & numerical data]; Rural population; Very elderly; Water Microbiology; Young Adult; Young adult",10.17269/s41997-020-00300-x,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02101430/full,
CN-02177380,"Hill, CL; McCain, K; Nyathi, ME; Edokpayi, JN; Kahler, DM; Operario, DJ; Taylor, DDJ; Wright, NC; Smith, JA; Guerrant, RL; Samie, A; Dillingham, RA; Bessong, PO; Rogawski McQuade, ET","Impact of Low-Cost Point-of-Use Water Treatment Technologies on Enteric Infections and Growth among Children in Limpopo, South Africa",American journal of tropical medicine and hygiene,2020,"Enteric infections early in life have been associated with poor linear growth among children in low‐resource settings. Point‐of‐use water treatment technologies provide effective and low‐cost solutions to reduce exposure to enteropathogens from drinking water, but it is unknown whether the use of these technologies translates to improvements in child growth. We conducted a community‐based randomized controlled trial of two water treatment technologies to estimate their effects on child growth in Limpopo, South Africa. We randomized 404 households with a child younger than 3 years to receive a silver‐impregnated ceramic water filter, a silver‐impregnated ceramic tablet, a safe‐storage water container alone, or no intervention, and these households were followed up quarterly for 2 years. We estimated the effects of the interventions on linear and ponderal growth, enteric infections assessed by quantitative molecular diagnostics, and diarrhea prevalence. The silver‐impregnated ceramic water filters and tablets consistently achieved approximately 1.2 and 3 log reductions, respectively, in total coliform bacteria in drinking water samples. However, the filters and tablets were not associated with differences in height (height‐for‐age z‐score differences compared with no intervention: 0.06, 95% CI: ‐0.29, 0.40, and 0.00, 95% CI: ‐0.35, 0.35, respectively). There were also no effects of the interventions on weight, diarrhea prevalence, or enteric infections. Despite their effectiveness in treating drinking water, the use of the silver‐impregnated ceramic water filters and tablets did not reduce enteric infections or improve child growth. More transformative water, sanitation, and hygiene interventions that better prevent enteric infections are likely needed to improve long‐term child growth outcomes.",103,4,1405‐1415,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 32840201,EMBASE 632690961,,,,Journal article,"*South Africa; *intestine infection; *water treatment; Article; Ceramics; Child; Child Development; Child Health; Child growth; Child, Preschool; Clinical trial; Coliform bacterium; Controlled study; Diarrhea; Diarrhea [epidemiology, *prevention & control]; Diarrhea, Infantile; Drinking Water [*microbiology]; Family Characteristics; Female; Filtration [*methods]; Household; Human; Humans; Hygiene; Infant; Infant, Newborn; Infection Control; Intestinal Diseases [prevention & control]; Major clinical study; Male; Molecular diagnostics; Nonhuman; Prevalence; Prevention; Quantitative analysis; Randomized controlled trial; South Africa [epidemiology]; Water Purification [*methods]; Water filter; Waterborne Diseases [epidemiology, prevention & control]",10.4269/ajtmh.20-0228,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02177380/full,
CN-02793723,"Brouwer, AF; Zahid, MH; Eisenberg, MC; Arnold, BF; Ashraf, S; Benjamin-Chung, J; Colford, JM; Ercumen, A; Luby, SP; Pickering, AJ; Rahman, M; Kraay, ANM; Eisenberg, JNS; Freeman, MC","Understanding the Effectiveness of Water, Sanitation, and Hygiene Interventions: a Counterfactual Simulation Approach to Generalizing the Outcomes of Intervention Trials",Environmental health perspectives,2024,"BACKGROUND: While water, sanitation, and hygiene (WASH) interventions can reduce diarrheal disease, many large‐scale trials have not found the expected health gains for young children in low‐resource settings. Evidence‐based guidance is needed to improve interventions and remove barriers to diarrheal disease reduction. OBJECTIVES: We aimed to estimate how sensitive WASH intervention effectiveness was to underlying contextual and intervention factors in the WASH Benefits (WASH‐B) Bangladesh cluster‐randomized controlled trial. METHODS: The investigators measured diarrheal prevalence in children enrolled in the WASH‐B trial at three time points approximately 1 year apart (n=17,187 observations). We developed a susceptible‐infectious‐susceptible model with transmission across multiple environmental pathways and evaluated each of four interventions [water (W), sanitation (S), hygiene (H), and nutrition (N) applied individually and in combination], compliance with interventions, and the impact of individuals not enrolled in the study. Leveraging a set of mechanistic parameter combinations fit to the WASH‐B Bangladesh trial using a hybrid Bayesian sampling‐importance resampling and maximum‐likelihood estimation approach, we simulated trial outcomes under counterfactual scenarios to estimate how changes in six WASH factors (preexisting WASH conditions, disease transmission potential, intervention compliance, intervenable fraction of transmission, intervention efficacy, and community coverage) impacted intervention effectiveness. RESULTS: Increasing community coverage had the greatest impact on intervention effectiveness (e.g., median increases in effectiveness of 34.0 and 45.5 percentage points in the WSH and WSHN intervention arms when increasing coverage to 20%). The effect of community coverage on effectiveness depended on how much transmission was along pathways not modified by the interventions. Intervention effectiveness was reduced by lower levels of preexisting WASH conditions or increased baseline disease burden. Individual interventions had complementary but not synergistic effects when combined. DISCUSSION: To realize the expected health gains, future WASH interventions must address community coverage and transmission along pathways not traditionally covered by WASH. The effectiveness of individual‐level WASH improvements is reduced more the further the community is from achieving the coverage needed for herd protection. https://doi.org/10.1289/EHP15200.",132,12,127003,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 39705040,EMBASE 646113494,,,,Journal article,"*Diarrhea [epidemiology, prevention & control]; *Hygiene; *Sanitation [methods]; *diarrhea; *hygiene; *sanitation; Bangladesh; Bayes Theorem; Bayes theorem; Child, Preschool; Controlled study; Epidemiology; Female; Human; Humans; Infant; Male; Preschool child; Prevention and control; Procedures; Randomized controlled trial; Water Supply [statistics & numerical data]; Water supply",10.1289/EHP15200,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02793723/full,
CN-02193304,"Gebrewahd, A; Adhanom, G; Gebremichail, G; Kahsay, T; Berhe, B; Asfaw, Z; Tadesse, S; Gebremedhin, H; Negash, H; Tesfanchal, B; Haileselasie, H; Weldetinsaa, HL","Bacteriological quality and associated risk factors of drinking water in Eastern zone, Tigrai, Ethiopia, 2019","Tropical diseases, travel medicine and vaccines",2020,"Background: Access to safe drinking water is one of the basic human rights and is critical to health. However, much of the world's population lacks access to adequate and safe water. Approximately 884,000, 000 people in the world still do not get their drinking water from safe sources; Sub‐Saharan Africa accounts for over one third of this number. It is estimated that 80% of all illnesses in the world are related to use of unsafe and contaminated water. Methods: A cross‐sectional study was conducted from August 1st 2017 to July 30th 2018 in three randomly selected woreda (districts) of Eastern Zone Tigrai. Water samples were examined for total coliforms and thermotelorant coliforms using the most probable number method. Standard biochemical testing was performed on samples that tested positive to identify the genus of bacteria. The contaminant risk of water sources were assessed using the sanitary inspection checklist of the World Health Organization. The results were interpreted using World Health Organization guidelines for drinking water quality. Data was collected using laboratory checklist and sanitary inspection check list. It was entered, cleared and analyzed using SPSS version 21.0 and a variable having a P < 0.05 was considered as statistically significant in all tests. Results: A total of 290 drinking water samples were analyzed for bacteriological quality. A total of 32.4% (n = 94) of water sources showed contamination with faecal and total coliforms. Of these 3.4% (n = 10) samples were contaminated with total coliforms and 29% (n = 84) contaminated with faecal coliforms. The leading water contaminant organisms were Escherichia coli (62.4%), Legionella species (8.5%), and Shigella species (7.5%) respectively. Based on WHO criteria, 15% of water sources were grouped in the very high risk group. Animal excreta and inadequate fencing of water sources were significantly associated with water contamination rate. Conclusion: Our findings suggest that most water sources in woredas of Eastern Tigrai are contaminated by faecal coliforms. Therefore, regular sanitary inspection, bacteriological analysis, and adequate fencing should be mandatory to protect drinking water sources from faecal contamination.",6,1,,Cochrane Central Register of Controlled Trials (CENTRAL),,EMBASE 632722341,,,,Journal article,*bacteriological quality; *microbiological parameters; *water quality; Article; Bacterial count; Biochemical analysis; Coliform bacterium; Controlled study; Cross‐sectional study; Environmental sanitation; Escherichia coli; Ethiopia; Fecal coliform; Heat tolerance; High risk population; Legionella; Microbiological examination; Most probable number method; Nonhuman; Priority journal; Protection; Pseudomonas; Risk factor; Shigella; Water analysis; Water contamination; Water sampling; Water standard; Water supply; World Health Organization; Yersinia,10.1186/s40794-020-00116-0,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02193304/full,
CN-02723278,"Catho, G; Cave, C; Grant, R; Carry, J; Martin, Y; Renzi, G; Nguyen, A; Buetti, N; Schrenzel, J; Harbarth, S",Controlling the hospital aquatic reservoir of multidrug-resistant organisms: a cross-sectional study followed by a nested randomized trial of sink decontamination,Clinical microbiology and infection,2024,"OBJECTIVES: The hospital water environment is an important reservoir of multidrug‐resistant organisms (MDROs) and presents a risk for patient safety. We assessed the effectiveness of thermal and chemical interventions on sinks contaminated with MDRO in the hospital setting. METHODS: We conducted a cross‐sectional assessment of MDRO contamination of sinks and toilets in 26 clinical wards of a tertiary care hospital. MDRO‐contaminated sink traps were then replaced and randomized (1:1:1) to receive chemical (sodium hypochlorite), thermal disinfection (steam), or no intervention. Interventions were repeated weekly for 4 weeks. Sinks were resampled 7 days after the last intervention. The primary outcome was the proportion of decontaminated sinks. MDROs of interest were extended spectrum beta‐lactamase (ESBL) producing and carbapenemase‐producing Enterobacterales, and non‐fermentative Gram‐negative bacilli. RESULTS: In the cross‐sectional assessment, at least one MDRO was identified in 258 (36%) of the 748 samples and in 91 (47%) of the 192 water sources. In total, 57 (42%) of the 137 sinks and 34 (62%) of the 55 toilets were contaminated with 137 different MDROs. The most common MDRO were ESBL Enterobacterales (69%, 95/137), followed by Verona Integron‐Borne Metallo‐β‐Lactamase (VIM) carbapenemase producing Pseudomonas aeruginosa (9%, 12/137) and Citrobacter spp. (6%, 5/137). In the nested randomized trial, five of the 16 sinks (31%) in the chemical disinfection group were decontaminated, compared with 8 of 18 (44%) in the control group (OR 0.58; 95% CI, 0.14‐2.32) and 9 of 17 (53%) in the thermal disinfection group (OR 1.40; 95% CI, 0.37‐5.32). DISCUSSION: Our study failed to demonstrate an added benefit of repeated chemical or thermal disinfection, beyond changing sink traps, in the MDRO decontamination of sinks. Routine chlorine‐based disinfection of sinks may need to be reconsidered.",30,8,1049‐1054,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 38759869,EMBASE 2032706187,,,,Journal article,"*Decontamination [methods]; *Disinfection [methods]; *Drug Resistance, Multiple, Bacterial; *decontamination; *disinfection; *multidrug resistance; Adult; Aged; Article; Citrobacter; Controlled study; Cross Infection [microbiology, prevention & control]; Cross‐Sectional Studies; Cross‐sectional study; Disinfectants [pharmacology]; Enterobacterales; Female; Hospitals; Human; Humans; Integron; Male; Non‐fermenting Gram‐negative bacterium; Patient safety; Pseudomonas aeruginosa; Sodium Hypochlorite [pharmacology]; Tertiary Care Centers; Tertiary care center; Toilet; Water Microbiology; Water supply; Water vapor; beta‐Lactamases [metabolism]",10.1016/j.cmi.2024.05.008,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02723278/full,
CN-02744531,"Bick, S; Ezezew, A; Opondo, C; Leurent, B; Argaw, W; Hunter, EC; Cumming, O; Allen, E; Dreibelbis, R","Impact of a school-based water and hygiene intervention on child health and school attendance in Addis Ababa, Ethiopia: a cluster-randomised controlled trial",BMC medicine,2024,"BACKGROUND: School‐based water, sanitation and hygiene (WASH) may improve the health and attendance of schoolchildren, particularly post‐menarcheal girls, but existing evidence is mixed. We examined the impact of an urban school‐based WASH programme (Project WISE) on child health and attendance. METHODS: The WISE cluster‐randomised trial, conducted in 60 public primary schools in Addis Ababa, Ethiopia over one academic year, enrolled 2‐4 randomly selected classes per school (  100 pupils) from grades 2 to 8 (aged 7‐16) in an 'open cohort'. Schools were assigned 1:1 by stratified randomisation to receive the intervention during the 2021/2022 or the 2022/2023 academic year (waitlist control). The intervention included improvements to drinking water storage, filtration and access, handwashing stations and behaviour change promotion. Planned sanitation improvements were not realised. At four unannounced classroom visits post‐intervention (March‐June 2022), enumerators recorded primary outcomes of roll‐call absence, and pupil‐reported respiratory illness and diarrhoea in the past 7 days among pupils present. Analysis was by intention‐to‐treat. RESULTS: Of 83 eligible schools, 60 were randomly selected and assigned. In total, 6229 eligible pupils were enrolled (median per school 101.5; IQR 94‐112), 5987 enrolled at study initiation (23rd November‐22nd December 2021) and the remaining 242 during follow‐up. Data were available on roll‐call absence for 6166 pupils (99.0%), and pupil‐reported illness for 6145 pupils (98.6%). We observed a 16% relative reduction in odds of pupil‐reported respiratory illness in the past 7 days during follow‐up in intervention vs. control schools (aOR 0.84; 95% CI 0.71‐1.00; p = 0.046). There was no evidence of effect on pupil‐reported diarrhoea in the past 7 days (aOR 1.15; 95% CI 0.84‐1.59; p = 0.39) nor roll‐call absence (aOR 1.07; 95% 0.83‐1.38; p = 0.59). There was a small increase in menstrual care self‐efficacy (aMD 3.32 on 0‐100 scale; 95% CI 0.05‐6.59), and no evidence of effects on other secondary outcomes. CONCLUSIONS: This large‐scale intervention to improve school WASH conditions city‐wide had a borderline impact on pupil‐reported respiratory illness but no effect on diarrhoeal disease nor pupil absence. Future research should establish relationships between WASH‐related illness, absence and other educational outcomes. TRIAL REGISTRATION: ClinicalTrials.gov, number NCT05024890.",22,1,348,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 39218883,,,,,Journal article,"*Child Health; *Hygiene; *Schools; Adolescent; Child; Diarrhea [epidemiology, prevention & control]; Ethiopia; Female; Humans; Male; Sanitation [methods, standards]; School Health Services; Water Supply [standards]",10.1186/s12916-024-03558-x,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02744531/full,
CN-02087604,"Shrestha, A; Schindler, C; Odermatt, P; Gerold, J; Erismann, S; Sharma, S; Koju, R; Utzinger, J; Cissé, G","Nutritional and health status of children 15 months after integrated school garden, nutrition, and water, sanitation and hygiene interventions: a cluster-randomised controlled trial in Nepal",BMC public health,2020,"BACKGROUND: It has been suggested that specific interventions delivered through the education sector in low‐ and middle‐income countries might improve children's health and wellbeing. This cluster‐randomised controlled trial aimed to evaluate the effects of a school garden programme and complementary nutrition, and water, sanitation and hygiene (WASH) interventions on children's health and nutritional status in two districts of Nepal. METHODS: The trial included 682 children aged 8‐17 years from 12 schools. The schools were randomly allocated to one of three interventions: (a) school garden programme (SG; 4 schools, n = 172 children); (b) school garden programme with complementary WASH, health and nutrition interventions (SG+; 4 schools, n = 197 children); and (c) no specific intervention (control; 4 schools, n = 313 children). The same field and laboratory procedures were employed at the baseline (March 2015) and end‐line (June 2016) surveys. Questionnaires were administered to evaluate WASH conditions at schools and households. Water quality was assessed using a Delagua kit. Dietary intake was determined using food frequency and 24‐h recall questionnaire. Haemoglobin levels were measured using HemoCue digital device and used as a proxy for anaemia. Stool samples were subjected to a suite of copro‐microscopic diagnostic methods for detection of intestinal protozoa and helminths. The changes in key indicators between the baseline and end‐line surveys were analysed by mixed logistic and linear regression models. RESULTS: Stunting was slightly lowered in SG+ (19.9 to 18.3%; p = 0.92) and in the control (19.7 to 18.9%). Anaemia slightly decreased in SG+ (33.0 to 32.0%; p < 0.01) and markedly increased in the control (22.7 to 41.3%; p < 0.01), a minor decline was found in the control (43.9 to 42.4%). Handwashing with soap before eating strongly increased in SG+ (from 74.1 to 96.9%; p = 0.01, compared to control where only a slight increase was observed from 78.0 to 84.0%). A similar observation was made for handwashing after defecation (increase from 77.2 to 99.0% in SG+ versus 78.0 to 91.9% in control, p = 0.15). CONCLUSIONS: An integrated intervention consisting of school garden, WASH, nutrition and health components (SG+) increased children's fruit and vegetable consumption, decreased intestinal parasitic infections and improved hygiene behaviours. TRIAL REGISTRATION: ISRCTN17968589 (date assigned: 17 July 2015).",20,1,158,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 32013901,EMBASE 630814249,,,,Journal article,*Nepal; *anemia; *dietary intake; *hand washing; *health status; *malnutrition; *water quality; Adolescent; Article; Child; Clinical trial; Controlled study; Defecation; Diet; Eating; Feces; Female; Fruit; Gardens; Health Status; Helminth; Hemoglobin blood level; Household; Human; Human tissue; Humans; Hygiene; Laboratory test; Linear regression analysis; Major clinical study; Male; Mixed cell culture; Nepal; Nonhuman; Nutritional Status; Program Evaluation; Protein expression; Protozoon; Questionnaire; Randomized controlled trial; Recall; Sanitation; School Health Services [*organization & administration]; School child; Stunting; Vegetable consumption; Water Quality; Water Supply,10.1186/s12889-019-8027-z,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02087604/full,
CN-02820767,"Cassell, K; Warren, JL; Heneghan, C; Weinberger, DM",Incorporating incubation period distributions to precisely estimate the association between rainfall and Legionella infection,Journal of infectious diseases,2025,"BACKGROUND: Multiple studies have shown a positive relationship between weather events and, 1 to 2 weeks later, Legionnaires' disease (LD) cases. Narrowing this time window of association can help determine whether the mechanism linking rainfall and relative humidity to sporadic LD is direct or indirect. Due to the large number of daily water interactions and low incidence of LD, we propose a new Bayesian modeling approach to disentangle the potential for a direct versus indirect exposure to precipitation. METHODS: Incubation period distributions were used to redistribute LD cases to their estimated day of exposure. Then Bayesian distributed lag models were fit to estimate cases per day of exposure with predictor variables for rainfall and absolute humidity. Sensitivity analyses explored the impact of relatively humidity, rainfall after the estimated date of exposure, and randomized rainfall to validate our results. RESULTS: One standard deviation increase in rainfall 2 and 3 days prior to the date of estimated exposure was associated with an approximately 15% increase in LD risk (per day). When heavy rainfall occurred 0 to 3 days prior to estimated exposure, risk increased by more than 40%, peaking at a 51% increased risk of LD 2 days after heavy rainfall. DISCUSSION: Our findings of a 2‐ and 3‐day lag between rainfall and the date of estimated exposure is consistent with an indirect link with rainfall, rather than a same‐day exposure. Potential pathways that can indirectly link rainfall to LD cases include rainfall‐mediated declines in public water supplies, but greater environmental sampling research is needed.",231,6,1502‐1511,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 39689015,EMBASE 646087644,,,,Journal article,*Infectious Disease Incubation Period; *Legionella; *Legionnaires' Disease [epidemiology]; *Rain; *incubation time; *legionellosis; *legionnaire disease; *pneumonia; *rain; *weather; Article; Bayes Theorem; Controlled study; Human; Humans; Humidity; Incidence; Major clinical study; Precipitation; Predictor variable; Sensitivity analysis; Water supply,10.1093/infdis/jiae625,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02820767/full,
CN-02623306,"Moore, I; Griswold, S; Van Sant, C; Lantagne, D; Heylen, C; Fitzpatrick, M; Birungi, C; Marshak, A; Mwesigire, T; Bagabirwa, J; Schoenmakers, K; Webb, P; Ghosh, S","Improved WASH Knowledge and Practices, and Reduced Water Contamination Through Social Behavior Change, in Uganda",Current developments in nutrition,2023,"Objectives: Poor water quality and hygiene practices contribute to diarrheal disease which can impair growth and development, increasing risk of stunting and wasting among children under‐2. This study evaluates the impact of a social behavior change communication (SBCC) program on water quality and hygiene practices in northern Uganda. Methods: A three‐arm cluster randomized controlled trial (cRCT) ‐ the One Nutrition in Complex Environments (ONCE) study ‐ evaluated the Nutrition Impact and Positive Practice (NIPP) program and an enhanced (NIPP+) program with added exposure to WASH and agricultural technologies compared to controls in households with children under‐2. Data were collected pre‐ and post‐intervention for 3 arms (n=900). Water was collected at households and community sources on a random subsample (n=360). E. coli were quantified with membrane filtration (CFU/100 mL) and converted to a binary indicator (<=10 | >10 CFU/ 100 ml).We computed an overall WASH score (out of 13) with 13 positive WASH indicators. Generalized linear models (GLMs) were used to generate effect estimates, adjusting for social‐demographic characteristics,water source characteristics and contamination, and baseline contamination. Results: NIPP and NIPP+ participants had higher probability of boiling water, cleaning water containers, and having a hand washing facility compared to controls at endline. They also had higher cumulative WASH knowledge and practice scores. There was no difference in effects by socioeconomic status or education. Therewas no significant difference in risk of E. coli contamination for NIPP compared to control. However, NIPP+ had a 24% lower risk (RR=0.76; p=0.02) of having E. coli in water compared to control. If all households had the NIPP+ intervention, fewer (49%) would have E. coli contaminated water than with no intervention (64%). Conclusions: Improvements in WASH knowledge and practices were reported for intervention households, along with a reduced risk of E. coli for NIPP+. While the NIPP+ intervention reduced contamination, about 50% of NIPP+ households still used contaminated water. Further analysis to determine the specific aspects responsible for contamination risk reduction and subsequent effects on malnutrition is needed. Funding Sources: U.S. Agency for International Development (USAID) and the USAID Feed the Future Initiative.",7,,,Cochrane Central Register of Controlled Trials (CENTRAL),,EMBASE 2026054045,,,,Journal article; Conference proceeding,*Uganda; *behavior change; *risk reduction; *social behavior; *water contamination; Child; Cleaning; Conference abstract; Container; Controlled study; Demographics; Education; Escherichia coli; Female; Funding; Hand washing; Household; Human; Major clinical study; Male; Malnutrition; Membrane filter; Nonhuman; Probability; Randomized controlled trial; Social status; Water quality; Water supply,10.1016/j.cdnut.2023.100945,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02623306/full,
